DestinationID,Name,District,State,Category,BestTimeToVisit,PopularityScore
1,Tirupati Balaji Temple,Tirupati,Andhra Pradesh,Religious,October - March,9.5
2,Araku Valley,Visakhapatnam,Andhra Pradesh,Hill Station,October - March,8.7
3,Borra Caves,Visakhapatnam,Andhra Pradesh,Nature,October - March,8.5
4,Srisailam Temple,Kurnool,Andhra Pradesh,Religious,October - February,9
5,Gandikota,Kadapa,Andhra Pradesh,Historical,October - March,8.6
6,Belum Caves,Kurnool,Andhra Pradesh,Nature,November - February,8.2
7,Lepakshi,Anantapur,Andhra Pradesh,Historical,October - March,7.8
8,Rishikonda Beach,Visakhapatnam,Andhra Pradesh,Beach,October - March,8.4
9,Kolleru Lake,West Godavari,Andhra Pradesh,Nature,November - February,7.5
10,Amaravati,Guntur,Andhra Pradesh,Historical,October - March,7.7
11,Pulicat Lake,Nellore,Andhra Pradesh,Nature,November - February,7.3
12,Sri Venkateswara National Park,Tirupati,Andhra Pradesh,Wildlife,October - March,8
13,Kondaveedu Fort,Guntur,Andhra Pradesh,Historical,October - February,7.2
14,Maredumilli Forest,East Godavari,Andhra Pradesh,Wildlife,October - March,7.6
15,Penukonda Fort,Anantapur,Andhra Pradesh,Historical,October - February,6.8
16,Horsley Hills,Chittoor,Andhra Pradesh,Hill Station,November - February,8.1
17,Simhachalam Temple,Visakhapatnam,Andhra Pradesh,Religious,October - March,8.5
18,Ubbalamadugu Falls,Chittoor,Andhra Pradesh,Waterfall,August - January,7.9
19,Ahobilam,Kurnool,Andhra Pradesh,Religious,October - March,7.4
20,Kakinada Beach,East Godavari,Andhra Pradesh,Beach,October - March,7.3
21,Mantralayam,Kurnool,Andhra Pradesh,Religious,October - March,7.8
22,Kurnool Fort,Kurnool,Andhra Pradesh,Historical,October - February,7
23,Uppalapadu Bird Sanctuary,Guntur,Andhra Pradesh,Wildlife,November - February,7.2
24,Ettipotala Falls,Guntur,Andhra Pradesh,Waterfall,August - January,7.5
25,Pattiseema,West Godavari,Andhra Pradesh,Nature,November - February,7.1
26,Draksharama Temple,East Godavari,Andhra Pradesh,Religious,October - March,7.4
27,Venkateswara Zoological Park,Tirupati,Andhra Pradesh,Wildlife,October - March,8
28,Mogalarajapuram Caves,Vijayawada,Andhra Pradesh,Historical,October - February,6.9
29,Tawang Monastery,Tawang,Arunachal Pradesh,Religious,March - October,9
30,Ziro Valley,Lower Subansiri,Arunachal Pradesh,Nature,April - June,8.7
31,Sela Pass,Tawang,Arunachal Pradesh,Mountain,May - October,8.5
32,Namdapha National Park,Changlang,Arunachal Pradesh,Wildlife,October - March,8.2
33,Mechuka Valley,Shi Yomi,Arunachal Pradesh,Nature,April - October,8.4
34,Bomdila,West Kameng,Arunachal Pradesh,Hill Station,March - October,8
35,Itanagar Wildlife Sanctuary,Papum Pare,Arunachal Pradesh,Wildlife,October - March,7.5
36,Pakhui Wildlife Sanctuary,East Kameng,Arunachal Pradesh,Wildlife,October - April,7.8
37,Dirang Valley,West Kameng,Arunachal Pradesh,Hill Station,March - October,7.9
38,Roing,Lower Dibang Valley,Arunachal Pradesh,Hill Station,October - April,7.7
